id,created_at
3778268,2016-08-25 16:01:28
3778343,2016-08-25 16:02:14
3778506,2016-08-25 16:04:00
3778670,2016-08-25 16:05:44
3778744,2016-08-25 16:06:39
3779100,2016-08-25 16:10:46
3780157,2016-08-25 16:23:55
3780429,2016-08-25 16:26:56
3780595,2016-08-25 16:29:02
3780613,2016-08-25 16:29:13
3780630,2016-08-25 16:29:21
3780651,2016-08-25 16:29:31
3780711,2016-08-25 16:30:12
3780756,2016-08-25 16:30:48
3780767,2016-08-25 16:30:59
3780779,2016-08-25 16:31:10
3780792,2016-08-25 16:31:20
3780805,2016-08-25 16:31:30
3780837,2016-08-25 16:31:54
3780855,2016-08-25 16:32:11
3780874,2016-08-25 16:32:23
3780903,2016-08-25 16:32:42
3780922,2016-08-25 16:32:52
3780979,2016-08-25 16:33:30
3781002,2016-08-25 16:33:48
3781029,2016-08-25 16:34:04
3781068,2016-08-25 16:34:31
3781084,2016-08-25 16:34:43
3781101,2016-08-25 16:34:58
3781118,2016-08-25 16:35:14
3953829,2016-08-28 16:37:10
3957822,2016-08-28 19:04:55
3957873,2016-08-28 19:06:17
3958645,2016-08-28 19:36:42
3958684,2016-08-28 19:37:32
3958834,2016-08-28 19:41:42
3958839,2016-08-28 19:41:55
3962613,2016-08-28 21:46:51
3962624,2016-08-28 21:46:58
3962629,2016-08-28 21:47:04
3962637,2016-08-28 21:47:12
3962643,2016-08-28 21:47:19
3962652,2016-08-28 21:47:28
3962660,2016-08-28 21:47:37
3962674,2016-08-28 21:47:45
3962681,2016-08-28 21:47:52
3962690,2016-08-28 21:47:59
3962698,2016-08-28 21:48:05
3962704,2016-08-28 21:48:12
3962719,2016-08-28 21:48:31
3962727,2016-08-28 21:48:41
3962736,2016-08-28 21:48:50
3962740,2016-08-28 21:48:56
3962747,2016-08-28 21:49:01
3962755,2016-08-28 21:49:07
3962769,2016-08-28 21:49:19
3962775,2016-08-28 21:49:26
3962794,2016-08-28 21:49:34
3962799,2016-08-28 21:49:42
3962810,2016-08-28 21:49:48
3962818,2016-08-28 21:49:55
3962825,2016-08-28 21:50:03
3962832,2016-08-28 21:50:09
3962840,2016-08-28 21:50:16
3962855,2016-08-28 21:50:25
3962858,2016-08-28 21:50:30
3962864,2016-08-28 21:50:37
3962869,2016-08-28 21:50:45
3962873,2016-08-28 21:50:50
3962879,2016-08-28 21:50:58
3962885,2016-08-28 21:51:04
3962896,2016-08-28 21:51:10
3962906,2016-08-28 21:51:17
3962914,2016-08-28 21:51:30
3962924,2016-08-28 21:51:37
3962930,2016-08-28 21:51:43
3962939,2016-08-28 21:51:49
3962942,2016-08-28 21:51:56
3962946,2016-08-28 21:52:02
3962978,2016-08-28 21:52:33
3962982,2016-08-28 21:52:39
3962991,2016-08-28 21:52:47
3963033,2016-08-28 21:53:37
3963039,2016-08-28 21:53:45
3963042,2016-08-28 21:53:52
3963047,2016-08-28 21:53:59
3963058,2016-08-28 21:54:06
3963065,2016-08-28 21:54:14
3963090,2016-08-28 21:54:39
3963103,2016-08-28 21:54:50
3963116,2016-08-28 21:55:06
3963121,2016-08-28 21:55:13
3963129,2016-08-28 21:55:20
3963136,2016-08-28 21:55:28
3963143,2016-08-28 21:55:33
3963166,2016-08-28 21:56:03
3963169,2016-08-28 21:56:08
3963174,2016-08-28 21:56:18
3963183,2016-08-28 21:56:34
3963186,2016-08-28 21:56:39
3963211,2016-08-28 21:57:03
3963214,2016-08-28 21:57:10
3963218,2016-08-28 21:57:16
3963226,2016-08-28 21:57:26
3963231,2016-08-28 21:57:34
3963240,2016-08-28 21:57:46
3963248,2016-08-28 21:57:55
3963252,2016-08-28 21:58:03
3963266,2016-08-28 21:58:17
3963280,2016-08-28 21:58:31
3963288,2016-08-28 21:58:39
3963299,2016-08-28 21:58:50
