snopes,s_pd,s_ft,s_n,fake,f_pd,f_ft,f_n
http://www.snopes.com/info/news/sandyhoax.asp,2015-02-07 09:04:08,2016-05-30 21:16:00,13,http://www.infowars.com/fbi-says-no-one-killed-at-sandy-hook/,2014-09-24 22:57:55,2016-06-01 20:18:31,26
http://www.snopes.com/politics/satire/coulter.asp,2013-08-14 20:52:06,2016-07-18 18:55:11,31,http://dailycurrant.com/2013/01/29/ann-coulter-refuses-board-airplane-black-pilot/,2013-01-29 12:52:48,2016-06-21 09:03:08,73
http://www.snopes.com/temple-of-baal-in-new-york-city/,2016-03-29 19:37:02,2016-09-20 03:10:40,9,http://www.nowtheendbegins.com/new-york-city-will-recreate-the-temple-of-baal-in-times-square-april/,2016-03-25 14:23:14,,0
http://www.snopes.com/politics/satire/microchip2.asp,2014-06-13 22:55:04,2016-05-25 02:21:16,1,http://nationalreport.net/study-finds-1-3-americans-implanted-rfid-chips-unaware/,2014-06-08 18:32:18,2016-06-24 13:51:59,8
http://www.snopes.com/politics/satire/bushvote.asp,2012-11-08 14:11:46,2016-09-20 04:24:17,1,http://dailycurrant.com/2012/11/06/george-bush-accidently-votes-obama/,2012-11-06 14:06:38,,0
http://www.snopes.com/california-banned-45-acp-ammunition/,2015-12-11 10:33:12,,0,http://nationalreport.net/california-implements-statewide-ban-45-acp-ammunition/,2015-04-16 13:22:02,2016-07-25 10:10:56,1
http://www.snopes.com/eye-opener/,2015-06-22 16:31:09,,0,http://www.clickhole.com/article/literally-amazing-incredible-dad-loved-his-family--769,2014-10-14 19:33:00,2016-05-17 02:22:30,53
http://www.snopes.com/inboxer/hoaxes/chumlee.asp,2014-03-14 01:42:20,2016-07-29 08:15:34,2,http://chronicle.su/2013/04/17/amanda-bynes-dead-at-27/,2013-04-17 02:27:29,,0
http://www.snopes.com/nasa-admits-contact-with-alien-species/,2016-09-19 17:40:02,2016-09-19 17:49:37,36,http://www.disclose.tv/news/nasa_admits_it_is_in_contact_with_alien_species_and_just_forgot_to_mention_it/135389,2016-09-19 09:58:36,2016-09-19 12:14:09,108
http://www.snopes.com/black-protesters-targeted-whites-in-milwaukee/,2016-08-15 20:20:38,2016-08-15 20:23:23,91,http://www.infowars.com/video-black-lives-matter-rioters-target-whites-for-beat-downs/,2016-08-14 11:45:48,2016-08-14 11:04:05,9139
http://www.snopes.com/human-sacrifice-captured-at-cern/,2016-08-17 18:58:04,2016-08-17 19:00:29,103,http://worldtruth.tv/murder-at-cern-disturbing-human-sacrifice-video-surfaces/,2016-08-12 12:46:19,2016-08-12 16:46:45,10
http://www.snopes.com/un-troops-americans-guns/,2016-04-13 19:52:48,2016-05-21 16:20:06,11,http://www.infowars.com/un-gun-grab-follows-state-department-plan/,2012-07-16 15:48:36,2016-06-15 00:41:11,1
http://www.snopes.com/woman-stabs-boyfriend-instagram/,2015-08-31 20:49:47,2016-08-06 16:06:53,3,https://thevalleyreport.com/2015/08/30/woman-stabs-boyfriend-for-not-liking-instagram-selfie-fast-enough/,2015-08-30 06:03:31,2016-06-03 06:20:26,306
http://www.snopes.com/fda-outlaws-cbd-oils/,2016-03-23 23:22:33,2016-05-20 17:12:01,7,http://www.naturalnews.com/040828_vaccines_government_lies_scandal.html,2013-06-18 00:00:00,,0
http://www.snopes.com/sadie-robertson-car-accident/,2015-09-18 22:47:21,2016-08-28 21:35:16,2,http://americannews.com/attention-sadie-robertson-in-major-car-accident-please-pray-for-her-and-her-family/,2015-09-18 03:24:46,2016-05-16 13:07:03,6
http://www.snopes.com/michigan-farmers-destroy-cherries/,2016-09-15 18:54:30,2016-09-15 19:01:57,7,http://www.naturalnews.com/054984_crop_dumps_cherries_USDA.html,2016-08-15 00:00:00,2016-08-15 06:33:11,79
http://www.snopes.com/politics/medical/pepsi.asp,2016-08-18 22:37:40,2016-05-17 20:44:01,41,http://www.naturalnews.com/049367_aborted_babies_flavor_chemicals_food_corporations.html,2015-04-15 00:00:00,2016-05-18 12:49:07,291
http://www.snopes.com/politics/religion/homedepotmuslim.asp,2015-06-23 08:56:02,2016-06-21 02:40:35,1,http://www.nowtheendbegins.com/home-depot-embraces-sharia-law-forced-muslim-sensitivity-training/,2014-09-09 14:09:55,2016-06-20 03:05:20,2
http://www.snopes.com/stone-age-tunnels/,2016-09-16 21:07:36,2016-09-16 21:19:55,17,http://www.infowars.com/european-network-of-stone-age-tunnels-that-weaves-from-scotland-to-turkey/,2011-08-04 18:05:56,,0
http://www.snopes.com/fukushima-radiation-causes-100-infant-mortality-among-orca-whales/,2016-09-26 17:18:55,2016-09-26 17:30:55,53,http://humansarefree.com/2016/09/radiation-from-fukushima-now-causes-100.html,2016-09-18 03:00:00,2016-09-18 07:52:30,30
http://www.snopes.com/media/notnews/obamabirth.asp,2014-10-27 02:31:08,2016-07-24 17:56:11,10,http://americannews.com/breaking-kenyan-government-releases-obamas-real-birth-certificate/,2014-10-24 12:51:47,2016-06-05 14:46:03,35
http://www.snopes.com/media/notnews/kanyebasketball.asp,2014-09-19 13:26:04,2016-06-22 08:15:45,3,http://dailycurrant.com/2014/09/17/kanye-scores-106-points-against-wheelchair-basketball-team/,2014-09-17 11:35:59,2016-05-25 14:34:52,16
http://www.snopes.com/media/notnews/giantcoverup.asp,2014-12-19 00:05:54,2016-05-17 13:28:26,32,http://worldnewsdailyreport.com/smithsonian-admits-to-destruction-of-thousands-of-giant-human-skeletons-in-early-1900s/,2014-12-03 18:25:03,2016-05-22 06:53:57,54
http://www.snopes.com/religion/wellhell.asp,2014-07-18 00:00:30,2016-05-21 19:25:51,2,http://weeklyworldnews.com/headlines/3060/oil-drill-opens-hole-into-hell/,2008-10-02 09:27:37,,0
http://www.snopes.com/obama-declares-islam-as-americas-religion/,2016-05-20 20:11:46,2016-05-20 20:15:08,59,http://americannews.com/obama-declares-islam-as-americas-religion/,2016-05-20 04:51:57,2016-05-20 13:08:59,72
http://www.snopes.com/politics/politicians/thirdterm.asp,2014-10-15 14:35:48,2016-06-04 16:54:01,4,http://americannews.com/obama-to-force-congress-to-let-him-run-for-an-illegal-3rd-term-in-2016/,2014-07-27 12:34:26,,0
http://www.snopes.com/media/notnews/gaygrits.asp,2014-10-22 10:08:56,2016-06-04 14:08:00,1,http://dailycurrant.com/2014/05/05/study-links-homosexuality-to-eating-grits/,2014-05-05 11:10:25,2016-05-25 23:39:36,11
http://www.snopes.com/deray-mckesson-and-the-summer-of-chaos/,2016-07-08 22:39:28,2016-07-08 22:44:45,1848,https://www.intellihub.com/operation-summer-of-chaos-obama-admin-black-lives-matter-plan/,2016-06-14 10:35:03,2016-06-14 15:16:33,2295
http://www.snopes.com/inboxer/hoaxes/chumlee.asp,2014-03-14 01:42:20,2016-07-29 08:15:34,2,http://chronicle.su/2013/03/29/chumlee-of-pawn-stars-arrested-with-seven-pounds-of-marijuana/,2013-03-29 22:39:35,,0
http://www.snopes.com/mike-pence-condom-ban/,2016-08-29 20:25:58,2016-08-29 20:30:31,15,http://www.newslo.com/mike-pence-calls-ban-condoms-lead-abortions/,2016-08-16 00:00:00,2016-08-22 13:36:31,18
http://www.snopes.com/sarah-palin-slavery-quote/,2016-05-31 18:12:54,2016-05-31 18:29:07,60,http://www.newslo.com/palin-even-the-french-understand-that-slavery-wasnt-our-fault-because-the-negroes-liked-it/,2016-03-31 00:00:00,2016-06-02 23:53:26,3
http://www.snopes.com/deray-mckesson-and-the-summer-of-chaos/,2016-07-08 22:39:28,2016-07-08 22:44:45,1848,http://www.dcclothesline.com/2016/07/06/hacked-messages-of-blacklivesmatter-leader-reveal-obama-admins-plan-for-summer-of-chaos-and-martial-law/,2016-07-06 06:08:41,2016-07-06 09:09:26,7357
http://www.snopes.com/politics/religion/armyturban.asp,2014-10-15 17:06:42,2016-09-29 15:23:34,1,http://americannews.com/muslims-demand-army-change-its-dress-code-to-include-turbans-and-beards/,2014-09-01 18:51:37,2016-09-10 20:34:43,22
http://www.snopes.com/media/notnews/sharkselfie.asp,2014-08-13 06:34:50,2016-09-23 14:21:08,1,http://worldnewsdailyreport.com/man-takes-selfie-moments-before-deadly-shark-attack/,2014-08-06 17:49:11,2016-05-16 15:09:43,22
http://www.snopes.com/hillary-clinton-has-parkinsons-disease/,2016-09-11 00:10:54,2016-09-11 00:17:39,335,http://www.infowars.com/new-obama-birth-certificate-is-a-forgery/,2011-04-28 14:12:09,2016-09-12 04:38:39,3
http://www.snopes.com/politics/obama/photos/flag.asp,2012-09-21 02:38:04,2016-06-07 20:32:13,2,http://weeklyworldnews.com/politics/45270/white-house-unveils-new-american-flag/,2012-05-08 00:11:00,,0
http://www.snopes.com/inboxer/hoaxes/chumlee.asp,2014-03-14 01:42:20,2016-07-29 08:15:34,2,http://chronicle.su/2013/05/14/chumlee-of-pawn-stars-fame-dead/,2013-05-14 12:04:28,,0
http://www.snopes.com/fisherman-captures-3000-pound-great-white-shark-in-great-lakes/,2016-06-22 15:46:48,2016-06-22 15:51:06,16,http://worldnewsdailyreport.com/fisherman-captures-3000-pound-great-white-shark-in-great-lakes/,2016-06-20 11:03:53,2016-06-22 05:58:32,5
http://www.snopes.com/marines-letter-michelle-obama/,2015-12-21 18:51:43,2016-07-07 16:41:46,7,http://dcgazette.com/2015/marines-letter-michelle-obama-marine-tells-like/,2015-05-30 14:18:36,2016-06-09 15:53:17,14
http://www.snopes.com/mh370-found-warehouse/,2015-09-01 20:35:30,,0,http://realnewsrightnow.com/2015/08/aircraft-resembling-mh370-found-in-warehouse-belonging-to-cnn/,2015-08-05 09:17:31,,0
