snopes,fake,s_pd,f_pd
http://www.snopes.com/human-sacrifice-captured-at-cern/,http://worldtruth.tv/murder-at-cern-disturbing-human-sacrifice-video-surfaces/,2016-08-17 18:58:04,2016-08-12 12:46:19
http://www.snopes.com/alicia-machado-adult-star/,http://www.infowars.com/hillarys-new-anti-trump-poster-child-is-a-porn-star-accused-of-driving-a-murder-getaway-vehicle-threatening-to-kill-a-judge/,2016-09-28 18:32:41,2016-09-28 12:28:22
http://www.snopes.com/ted-nugent-kaepernick-chimp/,http://politicops.com/ted-nugent-dont-get-chimp-gets-invoke-human-rights/,2016-09-15 16:23:27,2016-09-12 22:08:59
http://www.snopes.com/water-fluoridation-reduces-iq/,http://www.infowars.com/who-admits-omitting-fluorides-damaging-health-effects-to-prevent-controversy/,2016-12-30 23:18:42,2012-02-23 21:23:04
http://www.snopes.com/jill-stein-endorsed-donald-trump/,http://www.infowars.com/green-party-candidate-jill-stein-says-hillary-clinton-could-be-worse-than-donald-trump/,2016-10-13 15:47:47,2016-06-13 20:31:51
http://www.snopes.com/snowden-bin-laden-alive/,http://worldnewsdailyreport.com/bin-laden-is-alive-and-well-in-the-bahamas-says-edward-snowden/,2016-05-10 19:15:35,2015-08-25 14:48:01
http://www.snopes.com/seth-conrad-rich/,http://www.activistpost.com/2016/07/suspicious-dnc-staffer-in-charge-of-voter-expansion-data-murdered-in-d-c.html,2016-07-14 22:29:25,2016-07-12 10:15:02
http://www.snopes.com/politics/satire/solarpanels.asp,http://nationalreport.net/solar-panels-drain-suns-energy-experts-say/,2014-05-26 07:40:40,2014-05-21 21:43:32
http://www.snopes.com/neil-degrasse-tyson-girl-on-jupiter/,http://www.clickhole.com/article/awesome-when-little-girl-told-neil-degrasse-tyson--3565,2016-08-24 18:58:24,2015-12-01 16:58:00
http://www.snopes.com/donald-trump-ex-wives-abortions/,http://chronicle.su/2015/08/08/donald-trumps-ex-wives-speak-out-on-forced-abortions/,2016-03-31 16:17:12,2015-08-08 14:01:50
http://www.snopes.com/trump-bringing-back-draft/,http://realnewsrightnow.com/2016/04/trump-on-revamping-the-military-were-bringing-back-the-draft/,2016-12-05 20:01:15,2016-04-29 08:25:53
http://www.snopes.com/deray-mckesson-and-the-summer-of-chaos/,https://www.intellihub.com/operation-summer-of-chaos-obama-admin-black-lives-matter-plan/,2016-07-08 22:39:28,2016-06-14 10:35:03
http://www.snopes.com/hillary-clinton-had-drunken-meltdown-after-losing-the-election/,http://www.infowars.com/report-hillary-became-physically-violent-after-she-realized-she-had-lost-the-election/,2016-11-16 06:12:14,2016-11-15 12:04:13
http://www.snopes.com/anti-trump-protesters-block-ambulance/,http://www.infowars.com/report-anti-trump-protesters-block-ambulance-father-of-4-year-old-girl-dies/,2016-11-15 16:16:48,2016-11-15 13:24:12
http://www.snopes.com/politics/satire/bushvote.asp,http://dailycurrant.com/2012/11/06/george-bush-accidently-votes-obama/,2012-11-08 14:11:46,2012-11-06 14:06:38
