user_id,n_fake_sites,n_fact_sites,n_total_sites
115543224,39,5,44
3376927462,37,4,41
25725812,36,4,40
599445694,36,4,40
158950134,35,3,38
384005220,35,4,39
552335271,35,5,40
3499636752,35,4,39
725469308558663680,35,4,39
15995652,34,5,39
23433605,34,3,37
97989357,34,5,39
119534385,34,3,37
120818659,34,4,38
223896073,34,5,39
317223956,34,4,38
456775778,34,4,38
487769182,34,4,38
812079846,34,4,38
1400514948,34,5,39
1400943320,34,5,39
2327500422,34,4,38
2571409351,34,2,36
2853443310,34,5,39
3153844428,34,4,38
4085135908,34,3,37
316161690,33,4,37
583122991,33,4,37
916084236,33,5,38
1599562578,33,3,36
4521330855,33,4,37
700747161290452992,33,3,36
199216714,32,5,37
287505023,32,3,35
338567078,32,3,35
884311340,32,5,37
1008951163,32,5,37
1418775942,32,3,35
1865621094,32,4,36
1947900744,32,5,37
2545326607,32,4,36
2777807738,32,5,37
2903166449,32,3,35
3409715445,32,5,37
721737068322271232,32,4,36
721950741947023360,32,3,35
19921268,31,3,34
29547555,31,3,34
48100522,31,4,35
48866739,31,4,35
58869220,31,4,35
62493973,31,3,34
125744394,31,3,34
211990186,31,4,35
263325209,31,5,36
438051476,31,3,34
570816898,31,4,35
1428815594,31,2,33
1498573814,31,4,35
2321302628,31,4,35
2507917171,31,4,35
3260503620,31,4,35
3271255423,31,4,35
3400722723,31,3,34
705426933123649536,31,3,34
738856920937861120,31,5,36
750808149997805568,31,2,33
750905187783544832,31,5,36
15717071,30,5,35
18206185,30,3,33
49884490,30,4,34
51609807,30,4,34
84523588,30,4,34
166001916,30,4,34
173119648,30,2,32
259975018,30,5,35
557468072,30,5,35
630717039,30,3,33
905898240,30,5,35
1495747434,30,5,35
1924904623,30,4,34
2205198069,30,3,33
2284614762,30,4,34
2347719997,30,5,35
2398300866,30,3,33
2877712525,30,5,35
2949051936,30,4,34
3321952723,30,4,34
4821375853,30,4,34
4826912636,30,4,34
4883801255,30,3,33
704353869795606528,30,3,33
750776657523408896,30,5,35
16385026,29,3,32
17524689,29,3,32
27752166,29,1,30
29967056,29,5,34
66033904,29,3,32
86989456,29,4,33
162301746,29,5,34
180542862,29,4,33
186278633,29,3,32
199768203,29,5,34
234466998,29,5,34
353996180,29,3,32
375669510,29,4,33
425125521,29,3,32
538481859,29,4,33
570115053,29,5,34
869176992,29,4,33
871599601,29,1,30
919914043,29,3,32
929963226,29,4,33
1213293126,29,5,34
1700204558,29,2,31
2305880564,29,3,32
2341977604,29,5,34
2381241810,29,4,33
2450202811,29,3,32
2479977919,29,4,33
2798317598,29,3,32
2892983181,29,4,33
2980186012,29,5,34
3018828006,29,5,34
3161107329,29,4,33
3290881694,29,5,34
3394898979,29,4,33
3622223535,29,4,33
3739067240,29,4,33
3923762177,29,4,33
4180352153,29,4,33
705549682177658880,29,3,32
709532601032286209,29,5,34
711768753344675841,29,4,33
730273710310096896,29,5,34
730448238998786048,29,5,34
751482605334241280,29,4,33
3111721,28,3,31
12980002,28,5,33
33410754,28,5,33
36048950,28,5,33
37470180,28,5,33
48141381,28,4,32
68207839,28,2,30
71862569,28,2,30
91237627,28,4,32
104452282,28,1,29
121333842,28,4,32
202367059,28,5,33
279118291,28,4,32
305877707,28,4,32
342942805,28,4,32
345343418,28,2,30
350296113,28,3,31
364930955,28,2,30
465158270,28,5,33
466910067,28,3,31
477864155,28,1,29
513873998,28,3,31
550487203,28,5,33
559645321,28,5,33
714947334,28,4,32
718319754,28,4,32
737294036,28,4,32
900355423,28,5,33
1141027980,28,3,31
1488495162,28,2,30
2273797556,28,5,33
2330881664,28,2,30
2346152484,28,4,32
2416940856,28,4,32
2481854702,28,5,33
2683032895,28,4,32
2750309806,28,4,32
2796349244,28,2,30
2841714842,28,3,31
2896439073,28,4,32
2927276992,28,2,30
3030545658,28,3,31
3192848121,28,4,32
3263253388,28,5,33
3308703357,28,4,32
3424489361,28,5,33
3647423237,28,4,32
3664925599,28,4,32
3677594795,28,3,31
4055906223,28,4,32
4064331736,28,4,32
4182688875,28,4,32
4871126956,28,4,32
4886380750,28,4,32
4922868578,28,3,31
710088641243123712,28,4,32
711576455306743808,28,5,33
712440047807520769,28,3,31
714887575081607168,28,4,32
714949505720823808,28,4,32
734062356339302400,28,5,33
745514486631542785,28,4,32
762456727186841600,28,4,32
14230733,27,4,31
20435808,27,3,30
31579226,27,3,30
31718463,27,4,31
34701889,27,4,31
54065567,27,3,30
57039652,27,4,31
64008841,27,4,31
69483012,27,3,30
83652058,27,4,31
95199214,27,4,31
129949447,27,5,32
146408874,27,4,31
217575068,27,3,30
221475570,27,4,31
317284206,27,3,30
322879013,27,4,31
341027410,27,3,30
395476407,27,4,31
404463989,27,4,31
441063307,27,4,31
620640900,27,4,31
784865526,27,3,30
1023659581,27,3,30
