user_id,n_fake_tweets,n_fact_tweets,n_total_tweets
3423950230,17965,0,17965
138092553,16394,2,16396
73572581,13160,0,13160
1080714680,12749,0,12749
289762786,12135,5,12140
199216714,10266,16,10282
3217529705,10262,7,10269
3181140627,9744,6,9750
37091078,9389,0,9389
21032566,9190,2,9192
720008230412410885,8965,3,8968
198363756,8942,0,8942
97492736,8050,9,8059
1057893264,7798,0,7798
3374126201,7628,26,7654
250365695,7116,14,7130
389486216,5943,4,5947
2841714842,5442,29,5471
56569304,5106,1,5107
892501837,5055,1,5056
3266978148,5055,9,5064
4839403219,5024,3,5027
2789120208,4864,1,4865
706665518044999681,4725,12,4737
14962957,4720,9,4729
109065990,4639,0,4639
292586544,4457,0,4457
1141327123,4435,1,4436
1539085914,4347,4,4351
4496549793,4333,2,4335
199768203,4329,34,4363
501541494,4302,0,4302
2270554398,4301,2,4303
20715638,4299,4,4303
2985934030,4247,0,4247
1646044446,4235,5,4240
15063486,4187,48,4235
501567221,4166,2,4168
3121242095,4120,0,4120
583122991,4107,48,4155
14505245,4088,0,4088
12912542,4036,20,4056
780829149950726144,4030,5,4035
993451813,4005,0,4005
260830319,3853,0,3853
97989357,3769,31,3800
635004482,3628,2,3630
1408487016,3555,7,3562
598319603,3530,7,3537
2807635800,3509,1,3510
756839678020497409,3424,12,3436
3400009402,3422,0,3422
303909647,3407,0,3407
45154341,3398,8,3406
2398300866,3260,4,3264
29668080,3203,2,3205
105604742,3137,9,3146
2927103282,3127,0,3127
121333842,3119,11,3130
1077757998,3110,3,3113
4428509920,3104,1,3105
115392787,3095,0,3095
3171549289,3079,0,3079
772899092842307584,3076,14,3090
750868791752593408,3045,58,3103
3106534151,3042,10,3052
534117566,3020,9,3029
4855587569,3000,8,3008
991599836,2993,4,2997
1664059166,2969,2,2971
3131253213,2958,5,2963
21216192,2941,21,2962
350437162,2939,1,2940
506399081,2935,7,2942
180986738,2920,4,2924
776055774,2913,3,2916
49449357,2875,16,2891
356324005,2810,13,2823
482077328,2802,1,2803
4855687055,2777,25,2802
2377815434,2750,0,2750
1332367184,2725,10,2735
2842889879,2719,1,2720
321760879,2696,0,2696
256184059,2663,105,2768
1732405544,2658,1,2659
76937426,2606,6,2612
2738798022,2605,0,2605
365168112,2597,1,2598
740871504334721024,2585,3,2588
24086385,2570,1,2571
750412489116884993,2556,0,2556
279118291,2494,73,2567
2315583427,2461,9,2470
735148471376830464,2449,69,2518
614524574,2413,0,2413
757274031519363072,2391,28,2419
2382679416,2389,1,2390
743125492224626689,2371,1,2372
2794422915,2322,0,2322
772896788768559104,2292,14,2306
2711204024,2289,6,2295
709505904,2272,2,2274
1531185990,2253,15,2268
2178922148,2233,0,2233
30117361,2225,2,2227
85114590,2224,0,2224
326497387,2210,0,2210
338844588,2210,0,2210
76227785,2205,3,2208
225937279,2183,8,2191
175907485,2181,0,2181
301374864,2166,0,2166
338567078,2164,34,2198
4649106135,2163,4,2167
2735511486,2158,13,2171
95918629,2146,0,2146
777777378,2146,0,2146
754884880996020225,2111,71,2182
518453811,2101,0,2101
511860198,2100,0,2100
511935521,2100,0,2100
3317657956,2084,8,2092
902013278,2065,0,2065
723896723794440193,2042,2,2044
185579226,2041,14,2055
3400722723,2037,7,2044
772891119424331776,2022,38,2060
3266700752,2019,0,2019
1251812930,2011,2,2013
2836839353,2001,5,2006
1666194115,1999,1,2000
368544047,1990,13,2003
518347621,1987,2,1989
327936669,1983,0,1983
402061844,1980,9,1989
3167493495,1971,3,1974
1953192330,1954,1,1955
2267702196,1930,1,1931
158950134,1891,18,1909
2414855658,1889,0,1889
715434592925270017,1876,0,1876
4676548814,1856,5,1861
1414122888,1842,1,1843
74756207,1840,2,1842
15147510,1830,2,1832
328731996,1825,4,1829
313758408,1822,0,1822
45208226,1818,0,1818
876941538,1812,4,1816
363761111,1794,12,1806
2312494016,1788,0,1788
735933453070258176,1779,0,1779
102304238,1767,1,1768
445015186,1762,0,1762
3130927019,1760,24,1784
278570134,1753,0,1753
4826912636,1749,39,1788
1008951163,1746,35,1781
50836292,1745,3,1748
732239270769885184,1730,1,1731
772108095514406912,1716,3,1719
776448817751359488,1714,0,1714
32300193,1659,0,1659
721737068322271232,1646,25,1671
4906718786,1644,14,1658
1534334539,1641,2,1643
1951788738,1632,10,1642
4521330855,1629,74,1703
3409715445,1623,286,1909
79505913,1621,0,1621
320252434,1618,1,1619
3376927462,1611,95,1706
725448266867970049,1608,6,1614
3328134453,1579,4,1583
750905187783544832,1565,44,1609
531649280,1559,1,1560
488382884,1553,3,1556
260920761,1538,5,1543
805675543,1522,0,1522
16276552,1515,1,1516
1210332085,1515,3,1518
2626453511,1505,0,1505
3480694935,1498,19,1517
950804761,1495,5,1500
2159250657,1490,5,1495
2700167659,1490,5,1495
2705400409,1490,5,1495
86942689,1468,0,1468
3051400362,1467,0,1467
3178690927,1460,9,1469
15717071,1457,19,1476
