user_id,n_fake_urls,n_fact_urls,n_total_urls
3423950230,17622,0,17622
138092553,16135,2,16137
73572581,12751,0,12751
1080714680,11432,0,11432
289762786,10217,5,10222
3217529705,9878,5,9883
37091078,9391,0,9391
199216714,9023,15,9038
3181140627,7538,5,7543
3374126201,7388,19,7407
1057893264,7301,0,7301
97492736,6372,9,6381
56569304,5020,1,5021
389486216,4993,4,4997
21032566,4827,1,4828
2789120208,4810,1,4811
892501837,4743,1,4744
4839403219,4697,3,4700
2841714842,4601,26,4627
3266978148,4504,6,4510
1141327123,4428,1,4429
4496549793,4329,2,4331
501541494,4303,0,4303
292586544,4301,0,4301
1539085914,4097,3,4100
3121242095,4013,0,4013
199768203,3973,25,3998
501567221,3942,1,3943
109065990,3667,0,3667
706665518044999681,3610,10,3620
583122991,3560,26,3586
635004482,3527,2,3529
20715638,3503,4,3507
14505245,3453,0,3453
993451813,3416,0,3416
303909647,3408,0,3408
598319603,3389,5,3394
14962957,3235,9,3244
756839678020497409,3093,12,3105
2270554398,3073,3,3076
121333842,3049,15,3064
3400009402,3034,0,3034
105604742,2995,9,3004
991599836,2985,4,2989
115392787,2981,0,2981
1077757998,2976,2,2978
260830319,2965,0,2965
3131253213,2871,6,2877
1646044446,2836,5,2841
482077328,2755,1,2756
350437162,2741,1,2742
534117566,2740,8,2748
321760879,2697,0,2697
97989357,2683,23,2706
1732405544,2579,1,2580
2398300866,2563,4,2567
76937426,2550,5,2555
24086385,2534,1,2535
2842889879,2531,1,2532
2927103282,2521,0,2521
1664059166,2511,2,2513
3106534151,2504,8,2512
4855587569,2502,8,2510
3171549289,2478,0,2478
279118291,2460,73,2533
21216192,2421,17,2438
180986738,2415,5,2420
614524574,2383,0,2383
49449357,2328,14,2342
2377815434,2308,0,2308
29668080,2297,2,2299
45154341,2283,8,2291
2178922148,2229,0,2229
2738798022,2215,0,2215
326497387,2211,0,2211
338844588,2211,0,2211
2711204024,2209,6,2215
76227785,2198,1,2199
356324005,2174,12,2186
30117361,2151,2,2153
777777378,2147,0,2147
709505904,2130,2,2132
506399081,2127,3,2130
2794422915,2120,0,2120
2735511486,2115,13,2128
518453811,2102,0,2102
511860198,2101,0,2101
511935521,2101,0,2101
12912542,2090,15,2105
740871504334721024,2088,3,2091
902013278,2066,0,2066
301374864,1968,0,1968
1251812930,1954,2,1956
327936669,1952,0,1952
518347621,1934,2,1936
2267702196,1915,2,1917
95918629,1861,0,1861
2807635800,1854,1,1855
1953192330,1847,1,1848
723896723794440193,1837,1,1838
15147510,1818,2,1820
4649106135,1817,4,1821
743125492224626689,1811,1,1812
1332367184,1805,8,1813
4676548814,1798,5,1803
313758408,1781,0,1781
175907485,1771,0,1771
2312494016,1766,0,1766
750412489116884993,1751,0,1751
1531185990,1749,13,1762
3400722723,1743,5,1748
328731996,1727,4,1731
735933453070258176,1720,0,1720
776448817751359488,1702,0,1702
338567078,1699,33,1732
278570134,1693,0,1693
2382679416,1674,1,1675
3130927019,1670,24,1694
185579226,1654,12,1666
3167493495,1639,3,1642
158950134,1636,16,1652
3266700752,1621,0,1621
1666194115,1614,1,1615
74756207,1610,2,1612
363761111,1606,10,1616
32300193,1605,0,1605
45208226,1597,0,1597
1534334539,1597,2,1599
102304238,1591,1,1592
15063486,1586,12,1598
365168112,1578,1,1579
715434592925270017,1566,0,1566
488382884,1539,3,1542
776055774,1537,3,1540
320252434,1535,1,1536
1951788738,1532,8,1540
732239270769885184,1516,1,1517
4906718786,1499,12,1511
3848466194,1498,1,1499
79505913,1469,0,1469
1008951163,1450,28,1478
3051400362,1427,0,1427
3328134453,1394,5,1399
73858715,1390,4,1394
750905187783544832,1379,34,1413
15717071,1378,20,1398
961172101,1373,0,1373
4428509920,1370,1,1371
720008230412410885,1364,3,1367
219248541,1353,3,1356
956571343,1340,5,1345
531649280,1335,1,1336
16276552,1306,1,1307
754884880996020225,1301,33,1334
29547555,1293,9,1302
21531121,1285,15,1300
259260816,1275,3,1278
3178690927,1261,8,1269
772108095514406912,1258,2,1260
368544047,1250,10,1260
402061844,1248,9,1257
260920761,1247,5,1252
1210332085,1236,2,1238
4046491581,1235,3,1238
4826912636,1234,32,1266
1694109350,1233,1,1234
1849839132,1232,21,1253
458709872,1226,0,1226
55260264,1223,1,1224
3342834724,1218,0,1218
1945668452,1208,2,1210
445015186,1187,0,1187
24806398,1184,0,1184
55100779,1183,10,1193
3290217551,1178,3,1181
384005220,1167,25,1192
86942689,1165,0,1165
3317657956,1164,8,1172
3480694935,1164,15,1179
86441511,1159,7,1166
2521147680,1154,5,1159
725448266867970049,1153,6,1159
33170847,1150,0,1150
2252163905,1148,0,1148
1865621094,1146,20,1166
408590976,1143,1,1144
780829149950726144,1143,5,1148
58869220,1141,33,1174
58899730,1141,0,1141
80626778,1132,2,1134
265187672,1131,1,1132
3886197252,1123,0,1123
721737068322271232,1123,18,1141
3131388107,1116,0,1116
3236130899,1111,2,1113
4739845481,1109,23,1132
229896432,1102,0,1102
4808066595,1099,3,1102
86832042,1095,0,1095
60893069,1094,4,1098
730248972128817152,1093,8,1101
754538146726109184,1087,1,1088
2387053584,1085,3,1088
4786763677,1085,25,1110
769264223306121217,1083,0,1083
734892227411873792,1081,5,1086
603217994,1076,9,1085
4431568114,1075,31,1106
69483012,1074,8,1082
4834923616,1063,0,1063
3376927462,1061,74,1135
2268208070,1060,1,1061
19757184,1058,2,1060
782186200849231872,1058,0,1058
4521330855,1054,41,1095
134240162,1052,8,1060
753910825396469760,1052,2,1054
2359692109,1051,6,1057
769810679016464384,1042,5,1047
1072323325,1039,4,1043
16385026,1031,12,1043
2192695398,1030,0,1030
2361859956,1024,3,1027
4883801255,1020,17,1037
131964966,1012,0,1012
177425469,1012,0,1012
876941538,1008,4,1012
44592655,999,0,999
9235622,991,1,992
572265354,990,1,991
788571666,990,4,994
1911098132,990,0,990
317223956,989,28,1017
221475570,986,15,1001
37986522,985,6,991
3308781515,983,6,989
3371637920,983,2,985
83023044,975,10,985
316161690,973,23,996
726440510332784640,971,2,973
3330125487,968,7,975
1977365496,967,3,970
805675543,965,0,965
116705429,964,7,971
3070209746,961,2,963
891685188,958,1,959
1125953346,957,1,958
1334075256,957,2,959
36511832,953,3,956
350296113,951,13,964
23228167,943,1,944
15712057,941,8,949
2711498446,941,0,941
394379881,936,7,943
42769580,929,2,931
2687874710,929,0,929
1391563946,926,4,930
3111721,925,5,930
