timeline,number_of_article
2016-06-29,7648
2016-07-01,1
2016-07-02,1660
2016-07-03,1492
2016-07-04,1629
2016-07-05,1975
2016-07-06,1991
2016-07-07,2008
2016-07-08,1072
2016-07-09,1709
2016-07-10,1507
2016-07-11,958
2016-07-12,2244
2016-07-13,2155
2016-07-14,2244
2016-07-15,2194
2016-07-16,934
2016-07-17,1226
2016-07-18,2105
2016-07-19,2339
2016-07-20,2159
2016-07-21,1781
2016-07-22,2092
2016-07-23,1282
2016-07-24,1288
2016-07-25,1947
2016-07-26,2226
2016-07-27,1998
2016-07-28,2135
2016-07-29,1921
2016-07-30,1398
2016-07-31,1388
2016-08-01,1847
2016-08-02,1996
2016-08-03,2057
2016-08-04,2013
2016-08-05,2247
2016-08-06,1380
2016-08-07,1363
2016-08-08,1847
2016-08-09,1971
2016-08-10,1957
2016-08-11,2029
2016-08-12,1843
2016-08-13,1326
2016-08-14,1342
2016-08-15,1728
2016-08-16,1998
2016-08-17,1915
2016-08-18,2693
2016-08-19,2453
2016-08-20,1777
2016-08-21,1746
2016-08-22,2390
2016-08-23,2783
2016-08-24,2890
2016-08-25,2693
2016-08-26,2493
2016-08-27,1797
2016-08-28,1640
2016-08-29,2402
2016-08-30,2384
2016-08-31,2426
2016-09-01,2452
2016-09-02,2267
2016-09-03,1644
2016-09-04,1558
2016-09-05,1966
2016-09-06,2401
2016-09-07,2454
2016-09-08,2567
2016-09-09,2341
2016-09-10,1763
2016-09-11,2000
2016-09-12,2457
2016-09-13,2393
2016-09-14,2451
2016-09-15,2385
2016-09-16,2571
2016-09-17,1829
2016-09-18,1712
2016-09-19,2467
2016-09-20,2392
2016-09-21,2377
2016-09-22,2507
2016-09-23,2489
2016-09-24,1877
2016-09-25,1697
2016-09-26,2605
2016-09-27,2943
2016-09-28,2646
2016-09-29,2559
2016-09-30,1947
2016-10-01,190
2016-10-02,196
2016-10-03,335
2016-10-04,313
2016-10-05,376
2016-10-06,365
2016-10-07,377
2016-10-08,229
2016-10-09,606
2016-10-10,3083
2016-10-11,2803
2016-10-12,2869
2016-10-13,2836
2016-10-14,2828
2016-10-15,2138
2016-10-16,2066
2016-10-17,2846
2016-10-18,2975
2016-10-19,2882
2016-10-20,3019
2016-10-21,2217
2016-10-22,1956
2016-10-23,1874
2016-10-24,2666
2016-10-25,2724
2016-10-26,2671
2016-10-27,2646
2016-10-28,2689
2016-10-29,1985
2016-10-30,1830
2016-10-31,2621
2016-11-01,3105
2016-11-02,3250
2016-11-03,2742
2016-11-04,2793
2016-11-05,2108
2016-11-06,2077
2016-11-07,2206
2016-11-08,2910
2016-11-09,3376
2016-11-10,3161
2016-11-11,3173
2016-11-12,2189
2016-11-13,1837
2016-11-14,2720
2016-11-15,2670
2016-11-16,2701
2016-11-17,2724
2016-11-18,2639
2016-11-19,1969
2016-11-20,1651
2016-11-21,2446
2016-11-22,2667
2016-11-23,2620
2016-11-24,2144
2016-11-25,2176
2016-11-26,1794
2016-11-27,1631
2016-11-28,2516
2016-11-29,2640
2016-11-30,2639
2016-12-01,2611
2016-12-02,2506
2016-12-03,1893
2016-12-04,1678
2016-12-05,2465
2016-12-06,2544
2016-12-07,2778
2016-12-08,2738
2016-12-09,2681
2016-12-10,2130
2016-12-11,2279
2016-12-12,2974
2016-12-13,3464
2016-12-14,3258
2016-12-15,3597
2016-12-16,3635
2016-12-17,2702
2016-12-18,2514
2016-12-19,3174
2016-12-20,3803
2016-12-21,9048
2016-12-22,8138
2016-12-23,7097
2016-12-24,5309
2016-12-25,4100
2016-12-26,5360
2016-12-27,6810
2016-12-28,6881
2016-12-29,7294
2016-12-30,6707
2016-12-31,5536
2017-01-01,4873
2017-01-02,6317
2017-01-03,7406
2017-01-04,7289
