timeline,number_of_tweet
2016-05-16,20137
2016-05-17,25425
2016-05-18,29259
2016-05-19,32867
2016-05-20,30653
2016-05-21,23490
2016-05-22,20528
2016-05-23,25985
2016-05-24,27377
2016-05-25,27570
2016-05-26,26541
2016-05-27,26485
2016-05-28,22301
2016-05-29,19000
2016-05-30,25831
2016-05-31,32006
2016-06-01,30550
2016-06-02,28430
2016-06-03,31773
2016-06-04,23653
2016-06-05,24800
2016-06-06,25947
2016-06-07,29105
2016-06-08,29987
2016-06-09,30161
2016-06-10,27815
2016-06-11,21106
2016-06-12,25334
2016-06-13,51685
2016-06-14,43912
2016-06-15,38756
2016-06-16,44067
2016-06-17,36335
2016-06-18,22488
2016-06-19,19186
2016-06-20,33935
2016-06-21,33906
2016-06-22,20124
2016-06-23,3713
2016-06-24,33903
2016-06-25,37038
2016-06-26,8300
2016-06-27,16229
2016-06-28,23933
2016-06-29,19688
2016-06-30,30524
2016-07-01,29135
2016-07-02,28365
2016-07-03,24039
2016-07-04,22095
2016-07-05,36691
2016-07-06,34897
2016-07-07,33720
2016-07-08,9493
2016-07-09,40151
2016-07-10,34566
2016-07-11,6848
2016-07-12,42154
2016-07-13,38524
2016-07-14,42700
2016-07-15,62940
2016-07-16,9787
2016-07-17,47193
2016-07-18,56430
2016-07-19,63691
2016-07-20,61452
2016-07-21,42024
2016-07-22,70695
2016-07-23,41037
2016-07-24,33106
2016-07-25,50512
2016-07-26,84860
2016-07-27,68219
2016-07-28,57227
2016-07-29,50222
2016-07-30,36343
2016-07-31,37538
2016-08-01,45990
2016-08-02,47209
2016-08-03,44489
2016-08-04,50083
2016-08-05,54669
2016-08-06,43130
2016-08-07,43974
2016-08-08,52414
2016-08-09,53375
2016-08-10,53183
2016-08-11,53519
2016-08-12,54101
2016-08-13,37515
2016-08-14,65549
2016-08-15,59835
2016-08-16,56609
2016-08-17,54166
2016-08-18,56190
2016-08-19,49892
2016-08-20,36695
2016-08-21,32678
2016-08-22,45573
2016-08-23,52393
2016-08-24,50219
2016-08-25,76511
2016-08-26,63831
2016-08-27,39906
2016-08-28,35341
2016-08-29,54729
2016-08-30,51457
2016-08-31,46853
2016-09-01,61368
2016-09-02,50797
2016-09-03,41469
2016-09-04,30249
2016-09-05,48200
2016-09-06,52377
2016-09-07,53745
2016-09-08,83954
2016-09-09,49987
2016-09-10,31136
2016-09-11,82973
2016-09-12,72083
2016-09-13,53256
2016-09-14,51073
2016-09-15,50015
2016-09-16,69355
2016-09-17,40603
2016-09-18,44766
2016-09-19,57466
2016-09-20,62188
2016-09-21,59699
2016-09-22,64428
2016-09-23,80780
2016-09-24,49513
2016-09-25,49721
2016-09-26,72966
2016-09-27,193212
2016-09-28,65246
2016-09-29,78460
2016-09-30,40338
2016-10-04,11
2016-10-05,11
2016-10-07,6
2016-10-09,14071
2016-10-10,249849
2016-10-11,154005
2016-10-12,136094
2016-10-13,113771
2016-10-14,131453
2016-10-15,82359
2016-10-16,111860
2016-10-17,144717
2016-10-18,122822
2016-10-19,132143
2016-10-20,172752
2016-10-21,77321
2016-10-22,57667
2016-10-23,59144
2016-10-24,86379
2016-10-25,97695
2016-10-26,105331
2016-10-27,105321
2016-10-28,126296
2016-10-29,90263
2016-10-30,90862
2016-10-31,118787
2016-11-01,104410
2016-11-02,107999
2016-11-03,118977
2016-11-04,166453
2016-11-05,116810
2016-11-06,94123
2016-11-07,110936
2016-11-08,160521
2016-11-09,214825
2016-11-10,171856
2016-11-11,170409
2016-11-12,122903
2016-11-13,95920
2016-11-14,103481
2016-11-15,104423
2016-11-16,102083
2016-11-17,104998
2016-11-18,104419
2016-11-19,76958
2016-11-20,64401
2016-11-21,77630
2016-11-22,82036
2016-11-23,74120
2016-11-24,63762
2016-11-25,62647
2016-11-26,69945
2016-11-27,69622
2016-11-28,88372
2016-11-29,84201
2016-11-30,78723
2016-12-01,67817
2016-12-02,75196
2016-12-03,56187
2016-12-04,59310
2016-12-05,81578
2016-12-06,64195
2016-12-07,75292
2016-12-08,65253
2016-12-09,82134
2016-12-10,54945
2016-12-11,43884
2016-12-12,57325
2016-12-13,61973
2016-12-14,75134
2016-12-15,79490
2016-12-16,77834
2016-12-17,53173
2016-12-18,44189
2016-12-19,62622
2016-12-20,75335
2016-12-21,159069
2016-12-22,164289
2016-12-23,138814
2016-12-24,93486
2016-12-25,65936
2016-12-26,95960
2016-12-27,137091
2016-12-28,127107
2016-12-29,141136
2016-12-30,136470
2016-12-31,109217
2017-01-01,102856
2017-01-02,122554
2017-01-03,136474
2017-01-04,151590
