timeline,number_of_tweet
2016-05-16,11848
2016-05-17,14274
2016-05-18,16057
2016-05-19,12270
2016-05-20,3925
2016-05-21,3396
2016-05-22,2622
2016-05-23,2825
2016-05-24,2395
2016-05-25,2300
2016-05-26,2286
2016-05-27,2276
2016-05-28,2024
2016-05-29,2003
2016-05-30,1687
2016-05-31,1845
2016-06-01,1733
2016-06-02,1937
2016-06-03,2369
2016-06-04,1664
2016-06-05,2508
2016-06-06,2166
2016-06-07,2412
2016-06-08,2155
2016-06-09,2408
2016-06-10,1780
2016-06-11,2117
2016-06-12,1923
2016-06-13,3004
2016-06-14,2540
2016-06-15,2100
2016-06-16,2117
2016-06-17,1705
2016-06-18,1275
2016-06-19,1244
2016-06-20,1688
2016-06-21,1579
2016-06-22,2636
2016-06-23,220
2016-06-24,1278
2016-06-25,1241
2016-06-26,470
2016-06-27,1041
2016-06-28,2099
2016-06-29,817
2016-06-30,1294
2016-07-01,1339
2016-07-02,10784
2016-07-03,12191
2016-07-04,12501
2016-07-05,21874
2016-07-06,20788
2016-07-07,21951
2016-07-08,6316
2016-07-09,22879
2016-07-10,17957
2016-07-11,4102
2016-07-12,24317
2016-07-13,24121
2016-07-14,26392
2016-07-15,26341
2016-07-16,5664
2016-07-17,16099
2016-07-18,28658
2016-07-19,30722
2016-07-20,27863
2016-07-21,21425
2016-07-22,35088
2016-07-23,20514
2016-07-24,18053
2016-07-25,28256
2016-07-26,45406
2016-07-27,43653
2016-07-28,38760
2016-07-29,31979
2016-07-30,23604
2016-07-31,21544
2016-08-01,26665
2016-08-02,29829
2016-08-03,27809
2016-08-04,29298
2016-08-05,35249
2016-08-06,23337
2016-08-07,21102
2016-08-08,32596
2016-08-09,31415
2016-08-10,29676
2016-08-11,32101
2016-08-12,35483
2016-08-13,23858
2016-08-14,30032
2016-08-15,34827
2016-08-16,33460
2016-08-17,30256
2016-08-18,30916
2016-08-19,30578
2016-08-20,20859
2016-08-21,21814
2016-08-22,30358
2016-08-23,34596
2016-08-24,30233
2016-08-25,33615
2016-08-26,33746
2016-08-27,22601
2016-08-28,20275
2016-08-29,29724
2016-08-30,29794
2016-08-31,30660
2016-09-01,30990
2016-09-02,28867
2016-09-03,22528
2016-09-04,19930
2016-09-05,28272
2016-09-06,26730
2016-09-07,33157
2016-09-08,53517
2016-09-09,31561
2016-09-10,19715
2016-09-11,27298
2016-09-12,29790
2016-09-13,30656
2016-09-14,34908
2016-09-15,28822
2016-09-16,44897
2016-09-17,26942
2016-09-18,23873
2016-09-19,30121
2016-09-20,35322
2016-09-21,33167
2016-09-22,29188
2016-09-23,33624
2016-09-24,21246
2016-09-25,20047
2016-09-26,27849
2016-09-27,74446
2016-09-28,35246
2016-09-29,36006
2016-09-30,22327
2016-10-04,6
2016-10-05,6
2016-10-07,2
2016-10-09,6116
2016-10-10,64912
2016-10-11,60574
2016-10-12,51919
2016-10-13,45795
2016-10-14,54218
2016-10-15,38457
2016-10-16,31721
2016-10-17,47987
2016-10-18,49895
2016-10-19,51834
2016-10-20,61803
2016-10-21,28357
2016-10-22,24838
2016-10-23,27991
2016-10-24,45904
2016-10-25,60769
2016-10-26,59936
2016-10-27,51974
2016-10-28,55894
2016-10-29,38559
2016-10-30,38383
2016-10-31,61020
2016-11-01,65580
2016-11-02,59114
2016-11-03,63691
2016-11-04,74993
2016-11-05,55662
2016-11-06,49443
2016-11-07,48223
2016-11-08,71590
2016-11-09,51984
2016-11-10,55450
2016-11-11,56807
2016-11-12,37483
2016-11-13,31552
2016-11-14,56490
2016-11-15,62912
2016-11-16,50160
2016-11-17,51255
2016-11-18,45963
2016-11-19,31219
2016-11-20,26172
2016-11-21,32837
2016-11-22,38285
2016-11-23,32026
2016-11-24,23085
2016-11-25,24321
2016-11-26,27955
2016-11-27,29805
2016-11-28,38141
2016-11-29,35317
2016-11-30,39638
2016-12-01,37378
2016-12-02,43866
2016-12-03,25644
2016-12-04,19880
2016-12-05,29236
2016-12-06,31122
2016-12-07,33275
2016-12-08,27637
2016-12-09,33503
2016-12-10,25955
2016-12-11,20111
2016-12-12,27572
2016-12-13,32726
2016-12-14,32139
2016-12-15,39755
2016-12-16,44127
2016-12-17,30592
2016-12-18,26148
2016-12-19,29444
2016-12-20,32061
2016-12-21,105842
2016-12-22,110457
2016-12-23,94739
2016-12-24,63506
2016-12-25,46226
2016-12-26,66587
2016-12-27,95208
2016-12-28,91356
2016-12-29,105174
2016-12-30,100328
2016-12-31,78886
2017-01-01,69339
2017-01-02,85102
2017-01-03,96484
2017-01-04,105538
