timeline,number_of_user
2016-05-16,12245
2016-05-17,14820
2016-05-18,16720
2016-05-19,19403
2016-05-20,17513
2016-05-21,13438
2016-05-22,12529
2016-05-23,15040
2016-05-24,15066
2016-05-25,14740
2016-05-26,14174
2016-05-27,15216
2016-05-28,12811
2016-05-29,10746
2016-05-30,14497
2016-05-31,19621
2016-06-01,17213
2016-06-02,15282
2016-06-03,17801
2016-06-04,13858
2016-06-05,14607
2016-06-06,14980
2016-06-07,15831
2016-06-08,15933
2016-06-09,15519
2016-06-10,15391
2016-06-11,11595
2016-06-12,14827
2016-06-13,30002
2016-06-14,26274
2016-06-15,22139
2016-06-16,24102
2016-06-17,19151
2016-06-18,12896
2016-06-19,10866
2016-06-20,18732
2016-06-21,18882
2016-06-22,11682
2016-06-23,2392
2016-06-24,19197
2016-06-25,20667
2016-06-26,5495
2016-06-27,9855
2016-06-28,14271
2016-06-29,11784
2016-06-30,16753
2016-07-01,16027
2016-07-02,16178
2016-07-03,13510
2016-07-04,13064
2016-07-05,21512
2016-07-06,20187
2016-07-07,18561
2016-07-08,6037
2016-07-09,21604
2016-07-10,19390
2016-07-11,4677
2016-07-12,22526
2016-07-13,20571
2016-07-14,22748
2016-07-15,32181
2016-07-16,6939
2016-07-17,26267
2016-07-18,29934
2016-07-19,34960
2016-07-20,32536
2016-07-21,24347
2016-07-22,41038
2016-07-23,24761
2016-07-24,19833
2016-07-25,28237
2016-07-26,49084
2016-07-27,37928
2016-07-28,32624
2016-07-29,28533
2016-07-30,20868
2016-07-31,22503
2016-08-01,25803
2016-08-02,25080
2016-08-03,23513
2016-08-04,26258
2016-08-05,28166
2016-08-06,23529
2016-08-07,24219
2016-08-08,27331
2016-08-09,27857
2016-08-10,27534
2016-08-11,27173
2016-08-12,25886
2016-08-13,20238
2016-08-14,33494
2016-08-15,29900
2016-08-16,26772
2016-08-17,27056
2016-08-18,27998
2016-08-19,26319
2016-08-20,20284
2016-08-21,17299
2016-08-22,22559
2016-08-23,25850
2016-08-24,26250
2016-08-25,33774
2016-08-26,29656
2016-08-27,20981
2016-08-28,18800
2016-08-29,28370
2016-08-30,26045
2016-08-31,24464
2016-09-01,33735
2016-09-02,27487
2016-09-03,22546
2016-09-04,15585
2016-09-05,24690
2016-09-06,26960
2016-09-07,26410
2016-09-08,41888
2016-09-09,25825
2016-09-10,16906
2016-09-11,41265
2016-09-12,35621
2016-09-13,27221
2016-09-14,25295
2016-09-15,26961
2016-09-16,36541
2016-09-17,21803
2016-09-18,24401
2016-09-19,30534
2016-09-20,30732
2016-09-21,30302
2016-09-22,32758
2016-09-23,41002
2016-09-24,28198
2016-09-25,27338
2016-09-26,37724
2016-09-27,103208
2016-09-28,33350
2016-09-29,41568
2016-09-30,23499
2016-10-04,11
2016-10-05,10
2016-10-07,6
2016-10-09,9263
2016-10-10,111798
2016-10-11,65257
2016-10-12,63235
2016-10-13,52440
2016-10-14,56808
2016-10-15,40266
2016-10-16,56280
2016-10-17,71284
2016-10-18,57284
2016-10-19,58518
2016-10-20,83886
2016-10-21,40126
2016-10-22,32216
2016-10-23,30815
2016-10-24,40324
2016-10-25,45325
2016-10-26,49129
2016-10-27,47776
2016-10-28,56379
2016-10-29,42971
2016-10-30,42786
2016-10-31,51364
2016-11-01,48578
2016-11-02,53552
2016-11-03,55648
2016-11-04,68230
2016-11-05,46275
2016-11-06,44152
2016-11-07,53145
2016-11-08,73982
2016-11-09,116430
2016-11-10,91289
2016-11-11,81726
2016-11-12,63428
2016-11-13,51066
2016-11-14,55108
2016-11-15,54903
2016-11-16,50786
2016-11-17,52516
2016-11-18,54858
2016-11-19,42286
2016-11-20,36760
2016-11-21,39359
2016-11-22,39538
2016-11-23,38473
2016-11-24,34318
2016-11-25,32146
2016-11-26,35449
2016-11-27,38445
2016-11-28,50359
2016-11-29,45626
2016-11-30,38131
2016-12-01,35107
2016-12-02,39137
2016-12-03,30222
2016-12-04,32401
2016-12-05,44547
2016-12-06,32558
2016-12-07,38242
2016-12-08,36556
2016-12-09,40286
2016-12-10,29629
2016-12-11,25344
2016-12-12,31298
2016-12-13,31714
2016-12-14,37369
2016-12-15,39197
2016-12-16,40852
2016-12-17,28844
2016-12-18,25381
2016-12-19,33307
2016-12-20,40499
2016-12-21,77182
2016-12-22,76863
2016-12-23,66980
2016-12-24,49348
2016-12-25,36836
2016-12-26,50998
2016-12-27,71967
2016-12-28,64306
2016-12-29,72280
2016-12-30,68313
2016-12-31,55459
2017-01-01,49433
2017-01-02,58921
2017-01-03,65703
2017-01-04,81073
