timeline,number_of_user
2016-05-16,7525
2016-05-17,9023
2016-05-18,9442
2016-05-19,8248
2016-05-20,2970
2016-05-21,2539
2016-05-22,2000
2016-05-23,2071
2016-05-24,1794
2016-05-25,1746
2016-05-26,1809
2016-05-27,1667
2016-05-28,1507
2016-05-29,1554
2016-05-30,1268
2016-05-31,1346
2016-06-01,1361
2016-06-02,1446
2016-06-03,1925
2016-06-04,1169
2016-06-05,1895
2016-06-06,1656
2016-06-07,1837
2016-06-08,1562
2016-06-09,1939
2016-06-10,1401
2016-06-11,1633
2016-06-12,1534
2016-06-13,2511
2016-06-14,1970
2016-06-15,1657
2016-06-16,1744
2016-06-17,1314
2016-06-18,1012
2016-06-19,942
2016-06-20,1258
2016-06-21,1241
2016-06-22,1916
2016-06-23,163
2016-06-24,922
2016-06-25,984
2016-06-26,387
2016-06-27,804
2016-06-28,1620
2016-06-29,683
2016-06-30,957
2016-07-01,1063
2016-07-02,6447
2016-07-03,6993
2016-07-04,7542
2016-07-05,13461
2016-07-06,11948
2016-07-07,12232
2016-07-08,4031
2016-07-09,12523
2016-07-10,10353
2016-07-11,2722
2016-07-12,12697
2016-07-13,13021
2016-07-14,13950
2016-07-15,14639
2016-07-16,4037
2016-07-17,10467
2016-07-18,15962
2016-07-19,17617
2016-07-20,15987
2016-07-21,12864
2016-07-22,21843
2016-07-23,12088
2016-07-24,10698
2016-07-25,15977
2016-07-26,28524
2016-07-27,24857
2016-07-28,22990
2016-07-29,18764
2016-07-30,13851
2016-07-31,13036
2016-08-01,15098
2016-08-02,16378
2016-08-03,14564
2016-08-04,15835
2016-08-05,18380
2016-08-06,12855
2016-08-07,12081
2016-08-08,17727
2016-08-09,16869
2016-08-10,15274
2016-08-11,16873
2016-08-12,17842
2016-08-13,13100
2016-08-14,15589
2016-08-15,18010
2016-08-16,16595
2016-08-17,16067
2016-08-18,16002
2016-08-19,16389
2016-08-20,11188
2016-08-21,11646
2016-08-22,15424
2016-08-23,17508
2016-08-24,16221
2016-08-25,17328
2016-08-26,16962
2016-08-27,12311
2016-08-28,10554
2016-08-29,16189
2016-08-30,15911
2016-08-31,16014
2016-09-01,16194
2016-09-02,15124
2016-09-03,12069
2016-09-04,10113
2016-09-05,15007
2016-09-06,13912
2016-09-07,16681
2016-09-08,28545
2016-09-09,16538
2016-09-10,10758
2016-09-11,15168
2016-09-12,15471
2016-09-13,15422
2016-09-14,17309
2016-09-15,14708
2016-09-16,23631
2016-09-17,14127
2016-09-18,13649
2016-09-19,16889
2016-09-20,18123
2016-09-21,17437
2016-09-22,14961
2016-09-23,17090
2016-09-24,11538
2016-09-25,10795
2016-09-26,15651
2016-09-27,43022
2016-09-28,19063
2016-09-29,20171
2016-09-30,13492
2016-10-04,6
2016-10-05,5
2016-10-07,2
2016-10-09,4157
2016-10-10,36262
2016-10-11,28841
2016-10-12,27325
2016-10-13,23837
2016-10-14,27728
2016-10-15,19845
2016-10-16,16475
2016-10-17,24308
2016-10-18,25461
2016-10-19,26210
2016-10-20,38078
2016-10-21,15690
2016-10-22,13169
2016-10-23,14942
2016-10-24,22335
2016-10-25,29588
2016-10-26,30853
2016-10-27,25803
2016-10-28,27504
2016-10-29,18600
2016-10-30,19146
2016-10-31,28386
2016-11-01,31309
2016-11-02,28276
2016-11-03,28681
2016-11-04,32704
2016-11-05,25084
2016-11-06,23482
2016-11-07,23905
2016-11-08,33092
2016-11-09,30880
2016-11-10,34055
2016-11-11,33037
2016-11-12,21553
2016-11-13,18904
2016-11-14,32895
2016-11-15,34986
2016-11-16,27452
2016-11-17,26737
2016-11-18,23269
2016-11-19,16897
2016-11-20,14472
2016-11-21,17552
2016-11-22,19005
2016-11-23,16610
2016-11-24,12586
2016-11-25,13294
2016-11-26,14771
2016-11-27,17380
2016-11-28,22872
2016-11-29,19306
2016-11-30,19519
2016-12-01,19060
2016-12-02,24146
2016-12-03,15338
2016-12-04,11907
2016-12-05,16883
2016-12-06,16407
2016-12-07,17797
2016-12-08,14916
2016-12-09,17632
2016-12-10,14263
2016-12-11,11236
2016-12-12,14991
2016-12-13,16798
2016-12-14,16450
2016-12-15,20916
2016-12-16,24519
2016-12-17,16449
2016-12-18,15300
2016-12-19,16573
2016-12-20,18262
2016-12-21,54751
2016-12-22,55714
2016-12-23,49239
2016-12-24,35124
2016-12-25,26545
2016-12-26,36539
2016-12-27,51596
2016-12-28,46676
2016-12-29,54439
2016-12-30,51009
2016-12-31,42458
2017-01-01,35467
2017-01-02,43607
2017-01-03,48902
2017-01-04,54837
