,lower_day,user_id,user_raw_id,n_origin,n_retweet,n_reply,n_total
0,2016-07-01,1472,3423950230,2280,0,0,2280
1,2016-07-01,1991,138092553,1808,0,0,1808
2,2016-07-01,141,73572581,1644,0,0,1644
3,2016-07-01,72243,1080714680,1634,0,0,1634
4,2016-07-01,72752,518583516,1552,0,0,1552
5,2016-07-01,1339,21032566,1485,0,0,1485
6,2016-07-01,374,199216714,736,577,2,1456
7,2016-07-01,72338,166721424,1423,0,0,1423
8,2016-07-01,189783,720008230412410885,648,495,0,1158
9,2016-07-01,1501,37091078,1150,0,0,1150
10,2016-07-01,72751,170024727,1150,0,0,1150
11,2016-07-01,72502,166692760,1095,0,0,1095
12,2016-07-01,184107,289762786,778,298,1,1077
13,2016-07-01,825,73251704,973,30,1,1004
14,2016-07-01,72421,538738856,973,0,0,973
15,2016-07-01,6937,583122991,12,950,5,967
16,2016-07-01,540,53297881,954,1,0,955
17,2016-07-01,1820,4428509920,949,0,0,950
18,2016-07-01,1676,3266978148,537,354,0,931
19,2016-07-01,72458,1057893264,883,0,0,883
20,2016-07-01,1475,69815638,881,0,0,881
21,2016-07-01,1476,1561537848,881,0,0,881
22,2016-07-01,4409,198363756,870,0,7,877
23,2016-07-01,1511,2774305046,875,0,0,875
24,2016-07-01,13552,2841714842,794,40,0,869
25,2016-07-01,4355,97492736,375,488,0,863
26,2016-07-01,1657,389486216,5,843,0,854
27,2016-07-01,4047,3374126201,842,1,0,843
28,2016-07-01,163092,292586544,792,33,0,825
29,2016-07-01,72795,321763463,782,0,0,782
30,2016-07-01,72469,466714773,779,0,0,779
31,2016-07-01,12295,225937279,12,30,697,739
32,2016-07-01,8423,14962957,693,11,2,728
33,2016-07-01,433,312039297,726,0,0,726
34,2016-07-01,1254,725448266867970049,0,713,1,714
35,2016-07-01,4243,2270554398,539,167,0,708
36,2016-07-01,72226,395435410,698,0,0,698
37,2016-07-01,11376,56569304,659,1,0,660
38,2016-07-01,4663,2985934030,593,65,0,658
39,2016-07-01,72337,421319631,658,0,0,658
40,2016-07-01,1869,20715638,0,613,0,613
41,2016-07-01,1671,109065990,501,108,1,611
42,2016-07-01,6325,1077757998,584,19,0,603
43,2016-07-01,57,4627705759,599,0,0,599
44,2016-07-01,14367,3121242095,587,2,0,591
45,2016-07-01,656,1646044446,113,460,7,590
46,2016-07-01,9942,598319603,548,32,0,580
47,2016-07-01,242577,29668080,554,8,0,568
48,2016-07-01,72566,154670419,553,0,0,553
49,2016-07-01,72758,154671263,552,0,0,552
50,2016-07-01,6952,892501837,542,2,0,544
51,2016-07-01,72709,518626327,532,0,0,532
52,2016-07-01,4959,14505245,454,73,1,528
53,2016-07-01,10867,635004482,513,8,0,521
54,2016-07-01,72581,277575748,520,0,0,520
55,2016-07-01,4957,993451813,424,75,0,499
56,2016-07-01,44277,876941538,180,2,4,499
57,2016-07-01,1359,3181140627,430,68,0,498
58,2016-07-01,6977,1408487016,496,0,0,496
59,2016-07-01,2892,501567221,483,4,0,488
60,2016-07-01,2198,4496549793,476,5,0,481
61,2016-07-01,2779,15063486,458,17,1,480
62,2016-07-01,72721,1226670805,472,0,0,472
63,2016-07-01,167531,2738798022,463,0,0,463
