,lower_day,user_id,user_raw_id,n_origin,n_retweet,n_reply,n_total
0,2016-07-01,2073,8953122,1272,16,9,1304
1,2016-07-01,2112,3913961893,1230,0,0,1238
2,2016-07-01,3032,426903572,0,995,0,995
3,2016-07-01,309449,751267069551734791,546,0,1,547
4,2016-07-01,236469,1549532077,2,0,525,527
5,2016-07-01,2089,1438602337,0,506,0,506
6,2016-07-01,363201,743087502475546625,9,0,445,455
7,2016-07-01,289014,212617143,320,1,0,321
8,2016-07-01,2809,14294848,292,0,0,292
9,2016-07-01,7801,1101298442,0,276,0,280
10,2016-07-01,5471,2896866728,269,0,0,269
11,2016-07-01,62724,1114746523,66,1,185,252
12,2016-07-01,2934,1128255048,228,2,0,230
13,2016-07-01,7653,767036004,3,125,101,229
14,2016-07-01,244310,1155270618,0,226,0,227
15,2016-07-01,267271,738759178139770880,5,220,0,225
16,2016-07-01,22998,153177381,0,207,0,207
17,2016-07-01,201914,47408060,0,182,0,182
18,2016-07-01,63123,193417702,0,180,1,181
19,2016-07-01,63881,727558548540956672,1,157,0,176
20,2016-07-01,51653,14908579,0,172,0,172
21,2016-07-01,2709,414003816,0,26,24,168
22,2016-07-01,76929,4514651121,0,165,0,165
23,2016-07-01,85738,2954404008,0,157,2,164
24,2016-07-01,389472,2425757846,0,159,0,159
25,2016-07-01,125284,2493281642,0,0,158,158
26,2016-07-01,157189,1188380772,0,155,0,158
27,2016-07-01,25887,22700291,8,141,0,152
28,2016-07-01,86749,728667927776464896,0,151,1,152
29,2016-07-01,197423,1917347892,0,71,0,149
30,2016-07-01,6950,2734299494,147,0,0,147
31,2016-07-01,89287,437140719,0,138,0,146
32,2016-07-01,44614,260686639,3,92,0,134
33,2016-07-01,250181,2995751217,39,0,1,133
34,2016-07-01,200277,742434226432270336,0,104,0,128
35,2016-07-01,91138,716394248489177088,0,125,0,127
36,2016-07-01,26076,2780068146,121,0,0,121
37,2016-07-01,35495,704202954,0,120,0,120
38,2016-07-01,68209,239692112,41,72,0,118
39,2016-07-01,11490,3299924978,1,2,112,116
40,2016-07-01,58159,340180762,109,0,3,113
41,2016-07-01,234724,582444261,1,107,3,111
42,2016-07-01,65443,542141202,0,110,0,110
43,2016-07-01,137812,2502329424,12,0,88,109
44,2016-07-01,2409,3351687010,105,0,0,105
45,2016-07-01,6041,1033943323,0,104,0,104
46,2016-07-01,3860,327659422,0,101,0,101
47,2016-07-01,6777,22707692,76,22,3,101
48,2016-07-01,282514,20849008,35,1,61,101
49,2016-07-01,3212,91377501,29,69,1,100
50,2016-07-01,23529,4218052907,0,100,0,100
51,2016-07-01,72157,790432026,0,98,0,100
52,2016-07-01,211150,465005843,0,98,0,98
