,lower_day,capture_date,canonical_url,n_origin,n_retweet,n_reply,n_total
0,2016-07-01 00:00:00.000000,2016-07-26 03:33:36.899120,http://www.politifact.com/truth-o-meter/statements/2016/jul/25/michelle-obama/michelle-obama-correct-white-house-was-built-slave/,13,8688,21,9861
1,2016-07-01 00:00:00.000000,2016-07-26 23:20:10.319857,https://www.opensecrets.org/news/2016/07/leaks-show-dnc-asked-white-house-to-reward-donors-with-slots-on-boards-and-commissions/,280,4895,22,5603
2,2016-07-01 00:00:00.000000,2016-07-29 00:21:08.628992,http://www.snopes.com/is-green-party-candidate-jill-stein-anti-vaccine/,273,4220,448,5261
3,2016-07-01 00:00:00.000000,2016-07-08 22:44:46.217926,http://www.snopes.com/deray-mckesson-and-the-summer-of-chaos/,49,1544,64,1832
4,2016-07-01 00:00:00.000000,2016-07-26 15:33:51.808158,http://www.snopes.com/flags-banned-at-dnc/,369,497,774,1824
5,2016-07-01 00:00:00.000000,2016-07-25 18:39:22.931220,http://www.snopes.com/2016/07/25/what-we-know-so-far-about-wikileaks-dncleaks/,122,1259,34,1521
6,2016-07-01 00:00:00.000000,2016-07-21 19:24:12.850102,http://www.snopes.com/pokemon-go-dog-walking-program/,87,956,142,1381
7,2016-07-01 00:00:00.000000,2016-07-19 15:32:08.880407,http://www.politifact.com/personalities/ben-carson/,5,1145,6,1252
8,2016-07-01 00:00:00.000000,2016-07-06 21:22:48.050117,http://www.politifact.com/truth-o-meter/statements/2016/jul/06/hillary-clinton/fbi-findings-tear-holes-hillary-clintons-email-def/,123,840,76,1117
9,2016-07-01 00:00:00.000000,2016-07-17 20:40:14.467225,http://www.politifact.com/truth-o-meter/statements/2016/jul/17/reince-priebus/gop-chair-wrongly-claims-facts-show-children-do-be/,64,866,0,1040
10,2016-07-01 00:00:00.000000,2016-07-09 17:20:10.151174,http://www.snopes.com/philando-castile-was-not-wanted-for-armed-robbery/,258,423,297,1040
11,2016-07-01 00:00:00.000000,2016-07-09 00:00:35.018446,http://www.politifact.com/north-carolina/statements/2016/jul/08/hillary-clinton/hillary-clinton-donald-trump-wants-get-rid-federal/,70,874,2,1005
12,2016-07-01 00:00:00.000000,2016-07-12 21:41:27.144906,http://www.politifact.com/punditfact/statements/2016/jul/12/william-johnson/law-enforcement-lobbyist-says-pro-police-speech-ma/,9,875,2,951
13,2016-07-01 00:00:00.000000,2016-07-19 10:00:13.968026,http://www.politifact.com/california/statements/2016/jul/19/safety-all-initiative/its-no-whopper-licensed-gun-dealers-outnumber-mcdo/,15,609,1,876
14,2016-07-01 00:00:00.000000,2016-07-28 05:39:59.939603,http://www.politifact.com/truth-o-meter/statements/2016/jul/28/barack-obama/mostly-true-obama-says-world-opinion-us-better-now/,13,742,1,836
15,2016-07-01 00:00:00.000000,2016-07-28 03:22:51.770892,http://www.politifact.com/punditfact/statements/2015/jun/04/gretchen-carlson/gretchen-carlson-most-polls-show-world-has-lower-r/,4,763,0,834
16,2016-07-01 00:00:00.000000,2016-07-14 22:00:32.839145,http://www.politifact.com/truth-o-meter/statements/2016/jul/14/barack-obama/barack-obama-offers-flawed-comparison-between-teen/,24,699,12,833
