id,date_captured,tweet_counts
6910,2016-06-29 13:20:54.103219,152
7028,2016-07-02 01:02:53.423391,1
7034,2016-07-02 01:12:27.658286,5
7050,2016-07-02 01:21:12.655346,2
7119,2016-07-02 02:03:48.467773,3
7150,2016-07-02 02:23:01.461301,230
7190,2016-07-02 03:14:40.088933,5
7191,2016-06-29 13:20:54.103219,994
7209,2016-06-29 13:20:54.103219,666
7228,2016-07-02 03:58:42.453462,39
7232,2016-07-02 03:58:16.164686,10
7276,2016-07-02 04:24:00.249674,1
7280,2016-06-29 13:20:54.103219,72
7305,2016-07-02 04:57:06.869972,1
7315,2016-07-02 05:04:17.693479,4
7318,2016-07-02 05:13:15.176814,35
7393,2016-06-29 13:20:54.103219,2811
7397,2016-07-02 06:39:27.767207,5
7513,2016-07-02 09:13:09.781648,2
7621,2016-07-02 10:50:11.486393,2
7634,2016-07-02 11:05:31.409378,2
7641,2016-07-02 11:20:17.436779,1
7673,2016-07-02 11:38:24.504399,45
7730,2016-07-02 12:11:13.981358,1265
7745,2016-07-02 12:20:21.111393,1
7757,2016-07-02 12:28:18.082433,5
7782,2016-07-02 12:48:09.87534,1
7808,2016-07-02 13:06:07.820969,79
7831,2016-07-02 13:24:16.243499,22
7837,2016-07-02 13:33:29.540935,1
7931,2016-07-02 14:23:18.874498,89
7933,2016-07-02 14:29:44.445479,303
7969,2016-07-02 14:54:28.890566,2
8069,2016-07-02 16:03:06.261499,50
8075,2016-07-02 16:07:07.579299,3
8078,2016-07-02 16:10:39.217561,102
8103,2016-07-02 16:42:45.150718,3
8161,2016-06-29 13:20:54.103219,111
8177,2016-07-02 17:41:41.52518,1
8253,2016-07-02 18:33:22.45038,1
8276,2016-07-02 19:06:38.755154,11
8277,2016-07-02 19:03:15.446014,2
8295,2016-07-02 19:30:15.54749,58
8323,2016-07-02 19:48:18.274893,1
8377,2016-07-02 20:41:25.928052,1
8388,2016-07-02 20:52:38.43725,41
8434,2016-07-02 21:41:23.759825,10
8487,2016-07-02 22:13:10.819456,1
8503,2016-07-02 22:46:28.022708,30
8509,2016-07-02 22:49:31.656851,16
8555,2016-06-29 13:20:54.103219,1045
8556,2016-07-02 23:35:52.86039,1
8565,2016-07-02 23:50:12.58837,1
8570,2016-07-02 23:51:33.027528,66
8616,2016-07-03 00:10:51.376032,2
8627,2016-07-03 00:20:19.89641,5
8634,2016-07-03 00:30:21.130204,1
8665,2016-07-03 01:09:22.356017,5
8667,2016-07-03 01:09:39.74248,44
