timeline,volume
2016-05-16 05:00:00,7
2016-05-16 06:00:00,190
2016-05-16 07:00:00,181
2016-05-16 08:00:00,198
2016-05-16 09:00:00,216
2016-05-16 10:00:00,357
2016-05-16 11:00:00,672
2016-05-16 12:00:00,544
2016-05-16 13:00:00,505
2016-05-16 14:00:00,750
2016-05-16 15:00:00,800
2016-05-16 16:00:00,1023
2016-05-16 17:00:00,1026
2016-05-16 18:00:00,1153
2016-05-16 19:00:00,1085
2016-05-16 20:00:00,997
2016-05-16 21:00:00,892
2016-05-16 22:00:00,897
2016-05-16 23:00:00,766
2016-05-17 00:00:00,871
2016-05-17 01:00:00,691
2016-05-17 02:00:00,862
2016-05-17 03:00:00,515
2016-05-17 04:00:00,440
2016-05-17 05:00:00,397
2016-05-17 06:00:00,345
2016-05-17 07:00:00,227
2016-05-17 08:00:00,230
2016-05-17 09:00:00,210
2016-05-17 10:00:00,262
2016-05-17 11:00:00,591
2016-05-17 12:00:00,555
2016-05-17 13:00:00,703
2016-05-17 14:00:00,741
2016-05-17 15:00:00,801
2016-05-17 16:00:00,1073
2016-05-17 17:00:00,915
2016-05-17 18:00:00,928
2016-05-17 19:00:00,936
2016-05-17 20:00:00,910
2016-05-17 21:00:00,910
2016-05-17 22:00:00,788
2016-05-17 23:00:00,724
2016-05-18 00:00:00,838
2016-05-18 01:00:00,704
2016-05-18 02:00:00,661
2016-05-18 03:00:00,587
2016-05-18 04:00:00,566
2016-05-18 05:00:00,441
2016-05-18 06:00:00,269
2016-05-18 07:00:00,246
2016-05-18 08:00:00,268
2016-05-18 09:00:00,228
2016-05-18 10:00:00,314
2016-05-18 11:00:00,604
2016-05-18 12:00:00,660
2016-05-18 13:00:00,816
2016-05-18 14:00:00,831
2016-05-18 15:00:00,1061
2016-05-18 16:00:00,995
2016-05-18 17:00:00,1436
2016-05-18 18:00:00,1225
2016-05-18 19:00:00,1062
2016-05-18 20:00:00,870
2016-05-18 21:00:00,788
2016-05-18 22:00:00,926
2016-05-18 23:00:00,685
2016-05-19 00:00:00,680
2016-05-19 01:00:00,845
2016-05-19 02:00:00,746
2016-05-19 03:00:00,640
2016-05-19 04:00:00,441
2016-05-19 05:00:00,399
2016-05-19 06:00:00,376
2016-05-19 07:00:00,288
2016-05-19 08:00:00,248
2016-05-19 09:00:00,244
2016-05-19 10:00:00,301
2016-05-19 11:00:00,608
2016-05-19 12:00:00,673
2016-05-19 13:00:00,647
2016-05-19 14:00:00,803
2016-05-19 15:00:00,709
2016-05-19 16:00:00,914
2016-05-19 17:00:00,1028
2016-05-19 18:00:00,970
2016-05-19 19:00:00,1065
2016-05-19 20:00:00,973
2016-05-19 21:00:00,639
2016-05-19 22:00:00,752
2016-05-19 23:00:00,899
2016-05-20 00:00:00,809
2016-05-20 01:00:00,774
2016-05-20 02:00:00,518
2016-05-20 03:00:00,397
2016-05-20 04:00:00,453
2016-05-20 05:00:00,447
2016-05-20 06:00:00,304
2016-05-20 07:00:00,261
2016-05-20 08:00:00,208
2016-05-20 09:00:00,229
2016-05-20 10:00:00,478
2016-05-20 11:00:00,593
2016-05-20 12:00:00,903
2016-05-20 13:00:00,835
2016-05-20 14:00:00,950
2016-05-20 15:00:00,1054
2016-05-20 16:00:00,1256
2016-05-20 17:00:00,1040
2016-05-20 18:00:00,1083
2016-05-20 19:00:00,901
2016-05-20 20:00:00,903
2016-05-20 21:00:00,860
2016-05-20 22:00:00,657
2016-05-20 23:00:00,674
2016-05-21 00:00:00,721
2016-05-21 01:00:00,733
2016-05-21 02:00:00,564
2016-05-21 03:00:00,420
2016-05-21 04:00:00,372
2016-05-21 05:00:00,333
2016-05-21 06:00:00,270
2016-05-21 07:00:00,205
2016-05-21 08:00:00,345
2016-05-21 09:00:00,516
2016-05-21 10:00:00,257
2016-05-21 11:00:00,376
2016-05-21 12:00:00,470
2016-05-21 13:00:00,467
2016-05-21 14:00:00,628
2016-05-21 15:00:00,697
2016-05-21 16:00:00,666
2016-05-21 17:00:00,781
2016-05-21 18:00:00,668
2016-05-21 19:00:00,656
2016-05-21 20:00:00,688
2016-05-21 21:00:00,586
2016-05-21 22:00:00,574
2016-05-21 23:00:00,423
2016-05-22 00:00:00,451
2016-05-22 01:00:00,444
2016-05-22 02:00:00,388
2016-05-22 03:00:00,411
2016-05-22 04:00:00,459
2016-05-22 05:00:00,303
2016-05-22 06:00:00,194
2016-05-22 07:00:00,213
2016-05-22 08:00:00,256
2016-05-22 09:00:00,253
